# Teff(K) EWLim(mA) eEWLi(mA)
3000.5 567.0 54.6
3014.4 568.0 54.6
3028.3 569.0 54.6
3042.3 569.8 54.6
3056.3 570.6 54.6
3070.4 571.4 54.6
3084.6 572.0 54.6
3098.8 572.5 54.7
3113.1 573.0 54.7
3127.5 573.3 54.8
3142.0 573.4 54.8
3156.5 573.4 54.9
3171.0 573.3 55.1
3185.7 572.9 55.3
3200.4 572.2 55.6
3215.1 571.2 56.0
3230.0 569.8 56.6
3244.9 567.8 57.6
3259.9 565.3 58.9
3274.9 562.0 60.9
3290.0 557.7 63.8
3305.2 552.2 68.0
3320.5 545.2 73.7
3335.8 536.4 81.4
3351.2 536.2 81.6
3366.7 541.8 76.6
3382.2 546.6 72.4
3397.8 550.6 69.0
3413.5 553.9 66.2
3429.3 556.6 63.9
3445.1 558.9 62.2
3461.0 560.7 60.8
3477.0 562.1 59.7
3493.0 563.2 58.8
3509.1 564.0 58.1
3525.3 564.6 57.5
3541.6 564.9 57.1
3558.0 565.0 56.8
3574.4 565.0 56.5
3590.9 564.8 56.3
3607.4 564.4 56.1
3624.1 564.0 55.9
3640.8 563.4 55.8
3657.6 562.6 55.7
3674.5 561.8 55.6
3691.5 560.9 55.5
3708.5 559.8 55.5
3725.6 558.7 55.4
3742.8 557.5 55.4
3760.1 556.2 55.4
3777.5 554.8 55.4
3794.9 553.4 55.3
3812.4 551.8 55.3
3830.0 550.2 55.3
3847.7 548.5 55.3
3865.4 546.7 55.3
3883.3 544.8 55.3
3901.2 542.9 55.3
3919.2 540.9 55.3
3937.3 538.8 55.3
3955.5 536.7 55.3
3973.7 534.5 55.3
3992.1 532.2 55.3
4010.5 529.8 55.3
4029.0 527.4 55.3
4047.6 524.9 55.3
4066.3 522.3 55.3
4085.1 519.7 55.3
4103.9 517.0 55.3
4122.9 514.3 55.3
4141.9 511.4 55.4
4161.0 508.6 55.4
4180.2 505.6 55.4
4199.5 502.6 55.4
4218.9 499.6 55.4
4238.4 496.5 55.4
4257.9 493.3 55.4
4277.6 490.1 55.4
4297.3 486.8 55.4
4317.2 483.5 55.4
4337.1 480.1 55.4
4357.1 476.6 55.4
4377.2 473.2 55.4
4397.4 469.6 55.4
4417.7 466.0 55.4
4438.1 462.4 55.4
4458.6 458.8 55.4
4479.2 455.1 55.4
4499.9 451.3 55.4
4520.6 447.5 55.4
4541.5 443.7 55.3
4562.5 439.8 55.3
4583.5 435.9 55.3
4604.7 431.9 55.3
4625.9 428.0 55.3
4647.3 423.9 55.3
4668.7 419.9 55.3
4690.3 415.8 55.3
4711.9 411.7 55.3
4733.7 407.5 55.2
4755.5 403.3 55.2
4777.5 399.1 55.2
4799.5 394.9 55.2
4821.7 390.6 55.2
4844.0 386.3 55.2
4866.3 382.0 55.2
4888.8 377.6 55.1
4911.3 373.3 55.1
4934.0 368.9 55.1
4956.8 364.4 55.1
4979.7 360.0 55.1
5002.6 355.5 55.1
5025.7 351.0 55.0
5048.9 346.5 55.0
5072.2 341.9 55.0
5095.7 337.4 55.0
5119.2 332.8 55.0
5142.8 328.2 55.0
5166.5 323.6 54.9
5190.4 318.9 54.9
5214.3 314.3 54.9
5238.4 309.6 54.9
5262.6 304.9 54.9
5286.9 300.2 54.9
5311.3 295.4 54.9
5335.8 290.7 54.8
5360.4 285.9 54.8
5385.2 281.1 54.8
5410.0 276.3 54.8
5435.0 271.5 54.8
5460.1 266.6 54.8
5485.3 261.8 54.8
5510.6 256.9 54.7
5536.0 252.0 54.7
5561.6 247.1 54.7
5587.3 242.2 54.7
5613.1 237.3 54.7
5639.0 232.3 54.7
5665.0 227.4 54.7
5691.1 222.4 54.7
5717.4 217.4 54.7
5743.8 212.4 54.7
5770.3 207.3 54.6
5797.0 202.3 54.6
5823.7 197.2 54.6
5850.6 192.2 54.6
5877.6 187.1 54.6
5904.7 182.0 54.6
5932.0 176.8 54.6
5959.4 171.7 54.6
5986.9 166.6 54.6
6014.5 161.4 54.6
6042.3 156.2 54.6
6070.2 151.0 54.6
6098.2 145.8 54.6
6126.3 140.6 54.5
6154.6 135.4 54.5
6183.0 130.1 54.5
6211.6 124.8 54.5
6240.2 119.6 54.5
6269.0 114.3 54.5
6298.0 109.0 54.5
6327.0 103.6 54.5
6356.2 98.3 54.5
6385.6 92.9 54.5
6415.0 87.6 54.5
6444.7 82.2 54.5
6474.4 76.8 54.5
