# Teff(K) EWLim(mA) eEWLi(mA)
3000.5 0.0 25.5
3014.4 0.0 25.5
3028.3 0.0 25.5
3042.3 0.0 25.5
3056.3 0.0 25.5
3070.4 0.0 25.5
3084.6 0.0 25.5
3098.8 0.0 25.5
3113.1 0.0 25.5
3127.5 0.0 25.5
3142.0 0.0 25.5
3156.5 0.0 25.5
3171.0 0.0 25.5
3185.7 0.0 25.5
3200.4 0.0 25.5
3215.1 0.0 25.5
3230.0 0.0 25.5
3244.9 0.0 25.5
3259.9 0.0 25.5
3274.9 0.0 25.5
3290.0 0.0 25.5
3305.2 0.0 25.5
3320.5 0.0 25.5
3335.8 0.0 25.5
3351.2 0.0 25.5
3366.7 0.0 25.5
3382.2 0.0 25.5
3397.8 0.0 25.5
3413.5 0.0 25.5
3429.3 0.0 25.5
3445.1 0.0 25.5
3461.0 0.0 25.5
3477.0 0.0 25.5
3493.0 0.0 25.5
3509.1 0.0 25.5
3525.3 0.0 25.5
3541.6 0.0 25.5
3558.0 0.0 25.5
3574.4 0.0 25.5
3590.9 0.0 25.5
3607.4 0.0 25.5
3624.1 0.0 25.5
3640.8 0.0 25.5
3657.6 0.0 25.5
3674.5 0.0 25.5
3691.5 0.0 25.5
3708.5 0.0 25.5
3725.6 0.0 25.5
3742.8 0.0 25.5
3760.1 0.0 25.5
3777.5 0.0 25.5
3794.9 0.0 25.5
3812.4 0.0 25.5
3830.0 0.0 25.5
3847.7 0.0 25.5
3865.4 0.0 25.5
3883.3 0.0 25.5
3901.2 0.0 25.5
3919.2 0.0 25.5
3937.3 0.0 25.5
3955.5 0.0 25.5
3973.7 0.0 25.5
3992.1 0.0 25.5
4010.5 0.0 25.5
4029.0 0.0 25.5
4047.6 0.1 25.5
4066.3 0.1 25.5
4085.1 0.1 25.5
4103.9 0.2 25.5
4122.9 0.2 25.5
4141.9 0.3 25.5
4161.0 0.3 25.5
4180.2 0.4 25.5
4199.5 0.6 25.5
4218.9 0.7 25.5
4238.4 0.9 25.5
4257.9 1.1 25.5
4277.6 1.3 25.5
4297.3 1.6 25.5
4317.2 1.9 25.5
4337.1 2.3 25.5
4357.1 2.7 25.5
4377.2 3.1 25.5
4397.4 3.7 25.5
4417.7 4.3 25.6
4438.1 4.9 25.6
4458.6 5.7 25.6
4479.2 6.5 25.6
4499.9 7.3 25.6
4520.6 8.3 25.6
4541.5 9.3 25.7
4562.5 10.4 25.7
4583.5 11.6 25.7
4604.7 12.9 25.8
4625.9 14.2 25.8
4647.3 15.6 25.8
4668.7 17.1 25.9
4690.3 18.7 25.9
4711.9 20.3 26.0
4733.7 21.9 26.0
4755.5 23.7 26.1
4777.5 25.5 26.1
4799.5 27.3 26.2
4821.7 29.2 26.2
4844.0 31.1 26.3
4866.3 33.0 26.3
4888.8 35.0 26.4
4911.3 36.9 26.5
4934.0 38.9 26.5
4956.8 40.9 26.5
4979.7 42.8 26.6
5002.6 44.8 26.6
5025.7 46.8 26.7
5048.9 48.7 26.7
5072.2 50.6 26.7
5095.7 52.4 26.7
5119.2 54.2 26.8
5142.8 56.0 26.8
5166.5 57.7 26.8
5190.4 59.4 26.8
5214.3 61.0 26.8
5238.4 62.5 26.8
5262.6 64.0 26.8
5286.9 65.4 26.8
5311.3 66.7 26.7
5335.8 67.9 26.7
5360.4 69.1 26.7
5385.2 70.1 26.7
5410.0 71.1 26.7
5435.0 72.0 26.6
5460.1 72.8 26.6
5485.3 73.6 26.6
5510.6 74.2 26.5
5536.0 74.7 26.5
5561.6 75.2 26.5
5587.3 75.5 26.4
5613.1 75.7 26.4
5639.0 75.9 26.4
5665.0 76.0 26.3
5691.1 75.9 26.3
5717.4 75.8 26.2
5743.8 75.6 26.2
5770.3 75.3 26.2
5797.0 74.9 26.1
5823.7 74.4 26.1
5850.6 73.8 26.1
5877.6 73.1 26.0
5904.7 72.3 26.0
5932.0 71.5 26.0
5959.4 70.5 25.9
5986.9 69.5 25.9
6014.5 68.3 25.9
6042.3 67.1 25.9
6070.2 65.8 25.8
6098.2 64.5 25.8
6126.3 63.0 25.8
6154.6 61.5 25.8
6183.0 59.8 25.7
6211.6 58.2 25.7
6240.2 56.4 25.7
6269.0 54.5 25.7
6298.0 52.6 25.7
6327.0 50.6 25.6
6356.2 48.5 25.6
6385.6 46.4 25.6
6415.0 44.1 25.6
6444.7 41.8 25.6
6474.4 39.5 25.6
