# Teff(K) EWLim(mA) eEWLi(mA)
3000.5 0.0 22.4
3014.4 0.0 22.4
3028.3 0.0 22.4
3042.3 0.0 22.4
3056.3 0.0 22.4
3070.4 0.0 22.4
3084.6 0.0 22.4
3098.8 0.0 22.4
3113.1 0.0 22.4
3127.5 0.0 22.4
3142.0 0.0 22.4
3156.5 0.0 22.4
3171.0 0.0 22.4
3185.7 0.0 22.4
3200.4 0.0 22.4
3215.1 0.0 22.4
3230.0 0.0 22.4
3244.9 0.0 22.4
3259.9 0.0 22.4
3274.9 0.0 22.4
3290.0 0.0 22.4
3305.2 0.0 22.4
3320.5 0.0 22.4
3335.8 0.0 22.4
3351.2 0.0 22.4
3366.7 0.0 22.4
3382.2 0.0 22.4
3397.8 0.0 22.4
3413.5 0.0 22.4
3429.3 0.0 22.4
3445.1 0.0 22.4
3461.0 0.0 22.4
3477.0 0.0 22.4
3493.0 0.0 22.4
3509.1 0.0 22.4
3525.3 0.0 22.4
3541.6 0.0 22.4
3558.0 0.0 22.4
3574.4 0.0 22.4
3590.9 0.0 22.4
3607.4 0.0 22.4
3624.1 0.0 22.4
3640.8 0.0 22.4
3657.6 0.0 22.4
3674.5 0.0 22.4
3691.5 0.0 22.4
3708.5 0.0 22.4
3725.6 0.0 22.4
3742.8 0.0 22.4
3760.1 0.0 22.4
3777.5 0.0 22.4
3794.9 0.0 22.4
3812.4 0.0 22.4
3830.0 0.0 22.4
3847.7 0.0 22.4
3865.4 0.0 22.4
3883.3 0.0 22.4
3901.2 0.0 22.4
3919.2 0.0 22.4
3937.3 0.0 22.4
3955.5 0.0 22.4
3973.7 0.0 22.4
3992.1 0.0 22.4
4010.5 0.0 22.4
4029.0 0.0 22.4
4047.6 0.0 22.4
4066.3 0.0 22.4
4085.1 0.0 22.4
4103.9 0.0 22.4
4122.9 0.0 22.4
4141.9 0.0 22.4
4161.0 0.1 22.4
4180.2 0.1 22.4
4199.5 0.1 22.4
4218.9 0.1 22.4
4238.4 0.2 22.4
4257.9 0.2 22.4
4277.6 0.3 22.4
4297.3 0.3 22.4
4317.2 0.4 22.4
4337.1 0.5 22.4
4357.1 0.6 22.4
4377.2 0.8 22.4
4397.4 0.9 22.4
4417.7 1.1 22.4
4438.1 1.4 22.4
4458.6 1.6 22.4
4479.2 1.9 22.4
4499.9 2.2 22.4
4520.6 2.6 22.4
4541.5 3.0 22.4
4562.5 3.5 22.4
4583.5 4.0 22.4
4604.7 4.5 22.4
4625.9 5.1 22.4
4647.3 5.8 22.4
4668.7 6.5 22.4
4690.3 7.2 22.5
4711.9 8.0 22.5
4733.7 8.9 22.5
4755.5 9.8 22.5
4777.5 10.8 22.5
4799.5 11.8 22.5
4821.7 12.9 22.6
4844.0 14.0 22.6
4866.3 15.2 22.6
4888.8 16.4 22.6
4911.3 17.6 22.7
4934.0 18.9 22.7
4956.8 20.3 22.7
4979.7 21.6 22.7
5002.6 23.0 22.8
5025.7 24.4 22.8
5048.9 25.8 22.8
5072.2 27.2 22.8
5095.7 28.7 22.9
5119.2 30.1 22.9
5142.8 31.5 22.9
5166.5 33.0 22.9
5190.4 34.4 23.0
5214.3 35.8 23.0
5238.4 37.2 23.0
5262.6 38.5 23.0
5286.9 39.9 23.0
5311.3 41.2 23.0
5335.8 42.4 23.0
5360.4 43.7 23.0
5385.2 44.8 23.0
5410.0 46.0 23.0
5435.0 47.0 23.0
5460.1 48.0 23.0
5485.3 49.0 23.0
5510.6 49.9 23.0
5536.0 50.7 23.0
5561.6 51.5 23.0
5587.3 52.2 23.0
5613.1 52.8 23.0
5639.0 53.4 23.0
5665.0 53.9 23.0
5691.1 54.3 22.9
5717.4 54.6 22.9
5743.8 54.8 22.9
5770.3 55.0 22.9
5797.0 55.1 22.9
5823.7 55.1 22.8
5850.6 55.0 22.8
5877.6 54.9 22.8
5904.7 54.6 22.8
5932.0 54.3 22.8
5959.4 53.9 22.7
5986.9 53.4 22.7
6014.5 52.8 22.7
6042.3 52.2 22.7
6070.2 51.4 22.7
6098.2 50.6 22.6
6126.3 49.7 22.6
6154.6 48.7 22.6
6183.0 47.7 22.6
6211.6 46.5 22.6
6240.2 45.3 22.5
6269.0 44.0 22.5
6298.0 42.6 22.5
6327.0 41.2 22.5
6356.2 39.6 22.5
6385.6 38.0 22.5
6415.0 36.3 22.5
6444.7 34.6 22.5
6474.4 32.8 22.4
