# Teff(K) EWLim(mA) eEWLi(mA)
3000.5 0.5 34.7
3014.4 0.4 34.7
3028.3 0.3 34.7
3042.3 0.2 34.7
3056.3 0.1 34.7
3070.4 0.1 34.7
3084.6 0.1 34.7
3098.8 0.0 34.7
3113.1 0.0 34.7
3127.5 0.0 34.7
3142.0 0.0 34.7
3156.5 0.0 34.7
3171.0 0.0 34.7
3185.7 0.0 34.7
3200.4 0.0 34.7
3215.1 0.0 34.7
3230.0 0.0 34.7
3244.9 0.0 34.7
3259.9 0.0 34.7
3274.9 0.0 34.7
3290.0 0.0 34.7
3305.2 0.0 34.7
3320.5 0.0 34.7
3335.8 0.0 34.7
3351.2 0.0 34.7
3366.7 0.0 34.7
3382.2 0.0 34.7
3397.8 0.0 34.7
3413.5 0.0 34.7
3429.3 0.0 34.7
3445.1 0.0 34.7
3461.0 0.0 34.7
3477.0 0.0 34.7
3493.0 0.0 34.7
3509.1 0.0 34.7
3525.3 0.0 34.7
3541.6 0.0 34.7
3558.0 0.0 34.7
3574.4 0.0 34.7
3590.9 0.0 34.7
3607.4 0.0 34.7
3624.1 0.0 34.7
3640.8 0.0 34.7
3657.6 0.0 34.7
3674.5 0.1 34.7
3691.5 0.1 34.7
3708.5 0.1 34.7
3725.6 0.1 34.7
3742.8 0.2 34.7
3760.1 0.3 34.7
3777.5 0.4 34.7
3794.9 0.5 34.7
3812.4 0.6 34.7
3830.0 0.8 34.7
3847.7 1.1 34.7
3865.4 1.4 34.7
3883.3 1.8 34.8
3901.2 2.2 34.8
3919.2 2.8 34.8
3937.3 3.5 34.8
3955.5 4.3 34.8
3973.7 5.2 34.9
3992.1 6.3 35.0
4010.5 7.6 35.0
4029.0 9.0 35.1
4047.6 10.7 35.3
4066.3 12.5 35.4
4085.1 14.6 35.6
4103.9 16.9 35.8
4122.9 19.4 36.1
4141.9 22.1 36.3
4161.0 25.1 36.6
4180.2 28.3 37.0
4199.5 31.6 37.4
4218.9 35.2 65.8
4238.4 39.0 69.1
4257.9 43.0 72.4
4277.6 47.1 75.6
4297.3 51.3 78.7
4317.2 55.7 81.7
4337.1 60.2 84.5
4357.1 64.7 87.1
4377.2 69.3 89.5
4397.4 74.0 91.6
4417.7 78.6 93.5
4438.1 83.3 95.2
4458.6 87.9 96.6
4479.2 92.5 97.7
4499.9 97.0 98.6
4520.6 101.5 99.3
4541.5 105.8 99.7
4562.5 110.1 99.9
4583.5 114.2 99.9
4604.7 118.2 99.7
4625.9 122.0 99.3
4647.3 125.7 98.7
4668.7 129.3 98.0
4690.3 132.7 97.2
4711.9 135.9 96.2
4733.7 139.0 95.2
4755.5 141.9 94.0
4777.5 144.6 92.7
4799.5 147.2 91.4
4821.7 149.6 90.0
4844.0 151.8 88.6
4866.3 153.8 87.1
4888.8 155.7 85.6
4911.3 157.4 84.1
4934.0 158.9 82.5
4956.8 160.3 81.0
4979.7 161.5 79.4
5002.6 162.5 77.9
5025.7 163.4 76.3
5048.9 164.2 74.8
5072.2 164.8 73.3
5095.7 165.2 71.8
5119.2 165.5 70.3
5142.8 165.7 68.9
5166.5 165.7 67.5
5190.4 165.7 66.1
5214.3 165.4 37.6
5238.4 165.1 37.5
5262.6 164.6 37.3
5286.9 164.0 37.2
5311.3 163.3 37.0
5335.8 162.5 36.9
5360.4 161.6 36.8
5385.2 160.6 36.7
5410.0 159.4 36.5
5435.0 158.2 36.4
5460.1 156.9 36.3
5485.3 155.4 36.2
5510.6 153.9 36.1
5536.0 152.3 36.0
5561.6 150.6 36.0
5587.3 148.8 35.9
5613.1 146.9 35.8
5639.0 145.0 35.7
5665.0 142.9 35.7
5691.1 140.8 35.6
5717.4 138.6 35.5
5743.8 136.4 35.5
5770.3 134.0 35.4
5797.0 131.6 35.4
5823.7 129.2 35.3
5850.6 126.6 35.3
5877.6 124.0 35.2
5904.7 121.3 35.2
5932.0 118.6 35.2
5959.4 115.8 35.1
5986.9 113.0 35.1
6014.5 110.0 35.1
6042.3 107.1 35.0
6070.2 104.0 35.0
6098.2 101.0 35.0
6126.3 97.8 35.0
6154.6 94.6 34.9
6183.0 91.4 34.9
6211.6 88.1 34.9
6240.2 84.7 34.9
6269.0 81.3 34.9
6298.0 77.9 34.8
6327.0 74.4 34.8
6356.2 70.8 34.8
6385.6 67.2 34.8
6415.0 63.6 34.8
6444.7 59.9 34.8
6474.4 56.2 34.8
