hostname,bv,rhk,li,teff,prot,ruwe
TOI-1853,0.824,,,4997.199255642361,,
HATS-35,0.644,,,6106.953087158203,,
TOI-150,0.665,,,5788.523312559273,,
HD 213885,0.6062222363154093,,,5810.933324540441,1.0669150081062315,
Wolf 327,1.567,,,3579.701461538461,,
Kepler-6,0.6993333299954733,,,5549.645306710379,59.869998931884766,0.9816179997615814
Kepler-491,0.6079999804496765,,,5503.64075659428,16.080000311136246,1.057654
Kepler-257,0.9879999955495199,,,5007.735308103198,21.505428859165736,1.076569
Kepler-216,0.5680000185966492,,,6000.650298503736,10.21666685740153,0.9977589952316284
Kepler-32,1.4199999570846558,,,3794.1631914893615,36.72375011444092,0.964647
Kepler-259,0.7519999742507935,,,5512.07809647358,57.779998779296875,0.9949940143051147
Kepler-148,0.9296666582425436,,,5036.566639826592,28.80999994277954,0.9553564892711639
Kepler-222,0.8360000054041544,,,5107.114515440424,10.971777492099339,0.9817165143051148
Kepler-29,0.5580000281333923,,,5514.51806375558,23.843799237060548,
Kepler-179,0.8880000114440918,,,5238.900734559658,26.695000648498535,0.993901
Kepler-165,0.6010000109672546,,,5149.162688454861,22.25042484741211,0.949341
Kepler-228,0.847000002861023,,,5730.640174795387,15.4399995803833,1.127226
Kepler-20,0.7594999969005585,,,5375.818904338781,24.349999523162843,1.023808490463257
Kepler-166,0.7490000128746033,,,5147.283785983725,27.293426310628252,1.036749
Kepler-52,1.3450000286102295,,,4037.93108302859,11.94266668955485,0.975485
Kepler-197,,,,5891.536870762108,19.5,0.8969470131130218
K2-183,0.7860000133514404,,,5329.249761659124,,1.022682654586792
K2-187,0.8930000066757202,,,5451.001709560032,18.654566576293945,0.88433
K2-270,1.0420000553131104,,,4781.320058030523,17.100000381469727,0.953091
Kepler-184,0.7080000042915344,,,5544.604998023527,81.83999633789062,0.9040064988079071
K2-280,0.7329999804496765,,,5657.479491144502,,0.9736564809265137
K2-381,1.0529999732971191,,,4575.691463404605,,1.087687
HATS-36,0.6740000247955322,,,5878.786050000001,,0.870613
